,county,date,month,2.9%tax,year,total_revenue
393,Garfield,7-01-2015,7,13010,2015,448620.689655
394,Jefferson,7-01-2015,7,62487,2015,2154724.13793
395,La Plata,7-01-2015,7,13626,2015,469862.068966
396,Larimer,7-01-2015,7,37648,2015,1298206.89655
397,Montezuma,7-01-2015,7,3785,2015,130517.241379
398,Pitkin,7-01-2015,7,4720,2015,162758.62069
399,Pueblo,7-01-2015,7,22247,2015,767137.931034
400,Routt,7-01-2015,7,5217,2015,179896.551724
401,San Miguel,7-01-2015,7,1438,2015,49586.2068966
402,Summit,7-01-2015,7,7079,2015,244103.448276
403,Weld,7-01-2015,7,10217,2015,352310.344828
404,Other Counties,7-01-2015,7,19576,2015,675034.482759
405,Adams,7-01-2016,7,11436,2016,394344.827586
406,Arapahoe,7-01-2016,7,43337,2016,1494379.31034
407,Boulder,7-01-2016,7,65391,2016,2254862.06897
408,Clear Creek,7-01-2016,7,1939,2016,66862.0689655
409,Denver,7-01-2016,7,541784,2016,18682206.8966
410,Eagle,7-01-2016,7,5229,2016,180310.344828
411,El Paso,7-01-2016,7,240225,2016,8283620.68966
412,Fremont,7-01-2016,7,6442,2016,222137.931034
413,Garfield,7-01-2016,7,12101,2016,417275.862069
414,Jefferson,7-01-2016,7,46395,2016,1599827.58621
415,La Plata,7-01-2016,7,11781,2016,406241.37931
416,Larimer,7-01-2016,7,35770,2016,1233448.27586
417,Montezuma,7-01-2016,7,2907,2016,100241.37931
418,Pitkin,7-01-2016,7,-484,2016,-16689.6551724
419,Pueblo,7-01-2016,7,25958,2016,895103.448276
420,Routt,7-01-2016,7,4537,2016,156448.275862
421,San Miguel,7-01-2016,7,1227,2016,42310.3448276
422,Summit,7-01-2016,7,4772,2016,164551.724138
423,Weld,7-01-2016,7,9284,2016,320137.931034
424,Other Counties,7-01-2016,7,19267,2016,664379.310345
425,Adams,8-01-2014,8,13510,2014,465862.068966
426,Arapahoe,8-01-2014,8,32668,2014,1126482.75862
427,Boulder,8-01-2014,8,79049,2014,2725827.58621
428,Chaffee,8-01-2014,8,2607,2014,89896.5517241
429,Clear Creek,8-01-2014,8,2886,2014,99517.2413793
430,Denver,8-01-2014,8,434878,2014,14995793.1034
431,Eagle,8-01-2014,8,6685,2014,230517.241379
432,El Paso,8-01-2014,8,177673,2014,6126655.17241
433,Fremont,8-01-2014,8,6973,2014,240448.275862
434,Garfield,8-01-2014,8,14370,2014,495517.241379
435,Gilpin,8-01-2014,8,1179,2014,40655.1724138
436,Jefferson,8-01-2014,8,52806,2014,1820896.55172
437,La Plata,8-01-2014,8,16366,2014,564344.827586
438,Larimer,8-01-2014,8,32046,2014,1105034.48276
439,Montezuma,8-01-2014,8,3669,2014,126517.241379
440,Pitkin,8-01-2014,8,3356,2014,115724.137931
441,Pueblo,8-01-2014,8,11639,2014,401344.827586
442,Routt,8-01-2014,8,10693,2014,368724.137931
443,San Miguel,8-01-2014,8,1299,2014,44793.1034483
444,Summit,8-01-2014,8,4790,2014,165172.413793
445,Weld,8-01-2014,8,7631,2014,263137.931034
446,Other Counties,8-01-2014,8,19034,2014,656344.827586
447,Adams,8-01-2015,8,12066,2015,416068.965517
448,Arapahoe,8-01-2015,8,50269,2015,1733413.7931
449,Boulder,8-01-2015,8,76606,2015,2641586.2069
450,Clear Creek,8-01-2015,8,3498,2015,120620.689655
451,Denver,8-01-2015,8,554013,2015,19103896.5517
452,Eagle,8-01-2015,8,9619,2015,331689.655172
453,El Paso,8-01-2015,8,254156,2015,8764000.0
454,Fremont,8-01-2015,8,7227,2015,249206.896552
455,Garfield,8-01-2015,8,19390,2015,668620.689655
456,Gilpin,8-01-2015,8,2002,2015,69034.4827586
457,Jefferson,8-01-2015,8,54043,2015,1863551.72414
458,La Plata,8-01-2015,8,13036,2015,449517.241379
459,Larimer,8-01-2015,8,40572,2015,1399034.48276
460,Montezuma,8-01-2015,8,4197,2015,144724.137931
461,Pitkin,8-01-2015,8,1052,2015,36275.862069
462,Pueblo,8-01-2015,8,16188,2015,558206.896552
463,Routt,8-01-2015,8,5550,2015,191379.310345
464,San Miguel,8-01-2015,8,1363,2015,47000.0
465,Summit,8-01-2015,8,6649,2015,229275.862069
466,Weld,8-01-2015,8,12032,2015,414896.551724
467,Other Counties,8-01-2015,8,17603,2015,607000.0
468,Adams,8-01-2016,8,14137,2016,487482.758621
469,Arapahoe,8-01-2016,8,35593,2016,1227344.82759
470,Boulder,8-01-2016,8,65305,2016,2251896.55172
471,Clear Creek,8-01-2016,8,1622,2016,55931.0344828
472,Denver,8-01-2016,8,593786,2016,20475379.3103
473,Eagle,8-01-2016,8,7644,2016,263586.206897
474,El Paso,8-01-2016,8,256397,2016,8841275.86207
475,Fremont,8-01-2016,8,6898,2016,237862.068966
476,Garfield,8-01-2016,8,11795,2016,406724.137931
477,Jefferson,8-01-2016,8,48918,2016,1686827.58621
478,La Plata,8-01-2016,8,12824,2016,442206.896552
479,Larimer,8-01-2016,8,36572,2016,1261103.44828
480,Montezuma,8-01-2016,8,1467,2016,50586.2068966
481,Pitkin,8-01-2016,8,4093,2016,141137.931034
482,Pueblo,8-01-2016,8,24628,2016,849241.37931
483,Routt,8-01-2016,8,4811,2016,165896.551724
